"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"TGIF2LY",87621.3333333333,"distal_TF"
"SHOX",87904.898481569,"distal_TF"
"DUX4",87999.1038961039,"distal_TF"
"SPIB",88106.7901808786,"distal_TF"
"MEIS2",88118.6582042456,"distal_TF"
"POU3F1",88234.5,"distal_TF"
"FOXD1",88316.1466666667,"distal_TF"
"MEIS3",88538.615933712,"distal_TF"
"Irf1",88739.0692708333,"distal_TF"
"ELK4",88833.242281746,"distal_TF"
"TCF3",88890.8664799216,"distal_TF"
"FOXA3",88954.0806010929,"distal_TF"
"CREB1",89267.4270833333,"distal_TF"
"ATOH7",89357.643148688,"distal_TF"
"ELF2",89389.280345912,"distal_TF"
"SOX21",89458,"distal_TF"
"ZNF257",89487.305827848,"distal_TF"
"NFIX",89493.7770137285,"distal_TF"
"SREBF2",89516.6282051282,"distal_TF"
"HOXA1",89691.5263933983,"distal_TF"
"TBP",89724.6559122316,"distal_TF"
"Dmrt1",89841.7666666667,"distal_TF"
"TBX4",90040.4206251706,"distal_TF"
"NFKB1",90078.4307692308,"distal_TF"
"EMX1",90099.6367965368,"distal_TF"
"GATA1::TAL1",90172.2307692308,"distal_TF"
"PAX2",90185.9043478261,"distal_TF"
"MNX1",90203.5886997564,"distal_TF"
"Esrrg",90321.045,"distal_TF"
"NKX2-4",90472.9627040357,"distal_TF"
"ZNF766",90678.60375,"distal_TF"
"Lhx8",90860.1645686901,"distal_TF"
"SMAD2",90867.4035225885,"distal_TF"
"ZBTB26",91117.0696778711,"distal_TF"
"ZBTB6",91159.1282051282,"distal_TF"
"Foxo1",91163.2247474747,"distal_TF"
"MSX1",91302.2463145278,"distal_TF"
"BARX1",91325.0628489327,"distal_TF"
"Mafb",91367.7807017544,"distal_TF"
"SPDEF",91393.4759036145,"distal_TF"
"FOXP1",91435.7512254902,"distal_TF"
"FOXS1",91567.6491935484,"distal_TF"
"ZIM3",91572.7418032787,"distal_TF"
"HIF1A",91688.3946428572,"distal_TF"
"RFX7",91800.1261349206,"distal_TF"
"HOXA10",91895.3286885246,"distal_TF"
"ETV4",91940.0937065972,"distal_TF"
"GCM1",91966.0752136752,"distal_TF"
"MEIS1",92180.1660238386,"distal_TF"
"THAP1",92253.9385115157,"distal_TF"
"FOXK2",92327.37,"distal_TF"
"Nr1h3",92475.249155267,"distal_TF"
"SOX10",92476.6695802005,"distal_TF"
"NFKB2",92575.81875,"distal_TF"
"ERF",92623.4404109589,"distal_TF"
"OLIG1",92673.1413043478,"distal_TF"
"RAX2",92675.3304116518,"distal_TF"
"GSC",92725.876984127,"distal_TF"
"ETV2::HOXB13",92744.6895833333,"distal_TF"
"TCF12",92886.3971342383,"distal_TF"
"NR1I3",92975.5887746512,"distal_TF"
"ZNF354C",92992.6892904137,"distal_TF"
"IRF3",93037.2857142857,"distal_TF"
"ETS1",93594.7171442308,"distal_TF"
"Shox2",93613.4190990528,"distal_TF"
"FOSL2",93627.5835942596,"distal_TF"
"Erg",93652.8000704424,"distal_TF"
"TEAD2",93667.003125,"distal_TF"
"ETV5::FOXI1",93667.1622274143,"distal_TF"
"PITX2",93772.8875968992,"distal_TF"
"ARNT::HIF1A",93849.0823974359,"distal_TF"
"ETV3",93892.6132352941,"distal_TF"
"ETV2::FOXI1",93948.2276804432,"distal_TF"
"Alx4",94052.5714285714,"distal_TF"
"FLI1::DRGX",94111.2083333333,"distal_TF"
"FOXJ2::ELF1",94200.5868658425,"distal_TF"
"EOMES",94229.115,"distal_TF"
