"TFName","n_genes_targeted","total_positive_events","mean_of_gene_mean_abs_TSS_distance","median_of_gene_mean_abs_TSS_distance","sd_gene_mean_abs_TSS_distance"
"ETV3",136,564,93892.6132352941,21414,160142.800438738
"ETV2::FOXI1",159,766,93948.2276804432,24449.5,168049.824087829
"Alx4",7,19,94052.5714285714,102850,74623.3373569268
"FLI1::DRGX",24,75,94111.2083333333,34252.5,137755.710854863
"FOXJ2::ELF1",160,821,94200.5868658425,23292.25,166610.696060215
"EOMES",40,94,94229.115,22068,132120.812278164
"ZKSCAN5",116,432,94376.8392651888,25343,212793.029262832
"PITX1",63,143,94685.3261904762,40914,130395.540214797
"FLI1",202,1194,94702.0929455446,22539.8,170397.409762757
"ALX3",94,412,94879.665113905,26113.5,170294.815391712
"SIX2",20,48,94904.35,76757,79240.6790323167
"Nr2e3",65,326,94922.4876923077,32316,166050.09928835
"OVOL2",39,125,94923.5801282051,26013,148540.294996277
"OTX1",124,344,94934.638844086,40890,129577.35504447
"Nr1H2",119,313,95038.1111144458,21129,180920.456710486
"Nr1H4",119,313,95038.1111144458,21129,180920.456710486
"DRGX",113,614,95093.5501056082,33313,156601.683861084
"MYB",129,671,95115.3032899594,21919.25,221377.28030983
"DLX1",169,866,95304.9044568663,27937,158317.326960305
"HOXC8",153,904,95388.313955306,32211.75,155682.450350797
"Hic1",122,370,95419.5089773614,15799.2666666667,221678.983094181
"ERF::HOXB13",102,349,95458.3879084967,28524,158280.219640732
"ARNT2",58,220,95490.7573070608,23876.5,172512.922837915
"GATA4",56,142,95576.6392857143,33277.5,146361.069427319
"Sox11",73,228,95684.5799086758,33390,164794.389756853
"BARHL2",192,1014,95708.6089432239,31414,149661.15076666
"Gata3",54,127,95731.5336419753,40226.1666666667,129449.618628326
"EVX1",136,653,95775.4646968228,39646,149358.697196181
"EN1",114,485,96051.0218918509,29794,160212.847503986
"JDP2",58,380,96155.4011494253,30848.5,146347.344344921
"Arid5a",26,77,96469.1923076923,26362,146465.380226733
"ETS2",197,1197,96543.9749365482,21940,203229.572030605
