"TFName","timepoint","n_upstream","n_downstream","median_upstream","median_downstream","difference_median_upstream_minus_downstream","wilcox_p_value","wilcox_p_adj","direction"
"Ebf2","day_7",27,127,0.004636235,0.002357377,0.002278858,0.000272430769958536,0.0045954769353532,"upstream_higher"
"HOXB1","day_7",35,152,0.016183036,0.0108097835,0.0053732525,0.000311103577139053,0.00511326648579828,"upstream_higher"
"ARNT2","day_7",19,52,0.018682361,0.0079961415,0.0106862195,0.000345302388507482,0.0055334707758324,"upstream_higher"
"ESX1","day_7",25,117,0.016931125,0.010643278,0.006287847,0.000360583867126283,0.00563742094702311,"upstream_higher"
"Creb3l2","day_7",33,29,0.018813239,0.011580785,0.007232454,0.000440915270884064,0.00672920687230202,"upstream_higher"
"ZNF740","day_7",48,96,0.014862919,0.0114911375,0.0033717815,0.000479054939563479,0.00714126084326024,"upstream_higher"
"ATF3","day_0",16,18,0.017991203,0.009193277,0.008797926,0.000191508748927308,0.00744723918962026,"upstream_higher"
"FOS::JUN","day_0",37,132,0.016939163,0.007689026,0.009250137,0.000200455903636244,0.00744723918962026,"upstream_higher"
"ATF7","day_0",17,19,0.017991203,0.009193277,0.008797926,0.000207829930873124,0.00744723918962026,"upstream_higher"
"SP8","day_7",54,120,0.014882001,0.010739058,0.004142943,0.000524635545033246,0.00748108466785342,"upstream_higher"
"KLF1","day_7",104,183,0.0156149865,0.011149168,0.0044658185,0.000525193151409366,0.00748108466785342,"upstream_higher"
"EBF3","day_0",40,145,0.0139908,0.022709952,-0.008719152,0.000228113162064596,0.00774384155429811,"downstream_higher"
"ATF2","day_7",14,22,0.050263596,0.0127945425,0.0374690535,0.000557501928667327,0.00776866817990776,"upstream_higher"
"HOXA4","day_7",65,263,0.013385636,0.010315486,0.00307015,0.000586574207698035,0.00799987376881789,"upstream_higher"
"KLF15","day_7",85,116,0.015897751,0.0128129985,0.0030847525,0.000602716357938628,0.00804877469663877,"upstream_higher"
"Gmeb1","day_1",126,128,0.013216654,0.010687987,0.002528667,1.83739748955457e-05,0.00903622951305625,"upstream_higher"
"TCFL5","day_1",95,128,0.01502347,0.0094032695,0.0056202005,2.81502477042251e-05,0.00903622951305625,"upstream_higher"
"SOHLH2","day_7",12,26,0.019844055,0.007598579,0.012245476,0.000719572904580029,0.00941318840481221,"upstream_higher"
"GMEB2","day_0",21,28,0.019436359,0.011288881,0.008147478,0.000313063667749552,0.00970600776293289,"upstream_higher"
"FOSL2::JUN","day_0",38,128,0.017041842,0.00735227,0.009689572,0.000316009555072234,0.00970600776293289,"upstream_higher"
"EBF1","day_0",41,134,0.013756102,0.023055467,-0.009299365,0.0003392053702015,0.00994488471727126,"downstream_higher"
"HEY2","day_7",24,29,0.02068154,0.011982441,0.008699099,0.000883897298384406,0.0113315633652881,"upstream_higher"
"JUN::JUNB","day_0",43,142,0.013899326,0.006760597,0.007138729,0.000428271161189269,0.0115192940620865,"upstream_higher"
"DBP","day_0",21,53,0.016939163,0.004976845,0.011962318,0.000428624895333452,0.0115192940620865,"upstream_higher"
"ATF3","day_7",16,18,0.050263596,0.014027882,0.036235714,0.000921051301223349,0.011576350668317,"upstream_higher"
"TFEB","day_7",27,109,0.016363621,0.010437608,0.005926013,0.000992893563400004,0.0122393225796039,"upstream_higher"
"KLF4","day_7",88,149,0.0137764215,0.01082325,0.0029531715,0.00106070424880922,0.0128229778865161,"upstream_higher"
"KLF10","day_7",95,147,0.014767541,0.011797163,0.002970378,0.00108533823867231,0.0128229778865161,"upstream_higher"
"ATF7","day_7",17,19,0.050263596,0.014027882,0.036235714,0.0011002555128836,0.0128229778865161,"upstream_higher"
"SP4","day_7",90,167,0.0148478615,0.012023502,0.0028243595,0.00117167836147625,0.0134115326733263,"upstream_higher"
"FOSB::JUN","day_0",16,12,0.017323532,0.0100344095,0.0072891225,0.000529797106732591,0.0136687653537009,"upstream_higher"
"ZNF417","day_7",24,33,0.011354191,0.006456375,0.004897816,0.00122065784914175,0.0137270470403485,"upstream_higher"
"HIF1A","day_1",27,56,0.02428786,0.0080591045,0.0162287555,6.72342764064333e-05,0.0143881351509767,"upstream_higher"
"KLF16","day_7",73,115,0.014122703,0.010709112,0.003413591,0.00130433426871483,0.0144151425214863,"upstream_higher"
