"TFName","timepoint","n_positive_expression","n_negative_expression","n_total_positive_contrib","positive_expression_fraction","negative_expression_fraction","mean_contribution","median_contribution","global_positive_fraction","binomial_p_value","binomial_p_adj","difference_from_timepoint_global","expression_bias"
"FOSL2::JUNB","day_0",86,85,171,0.502923976608187,0.497076023391813,0.0114662838654971,0.008398904,0.515210540681373,0.760086520550825,1,-0.0122865640731856,"negative_expression_enriched"
"KLF1","day_0",142,139,281,0.505338078291815,0.494661921708185,0.013312894480427,0.011858106,0.515210540681373,0.765521573133644,1,-0.00987246238955763,"negative_expression_enriched"
"FOXO1::ELF1","day_0",51,51,102,0.5,0.5,0.0191647029847499,0.017490277,0.515210540681373,0.767328962064598,1,-0.0152105406813726,"negative_expression_enriched"
"CUX2","day_0",5,6,11,0.454545454545455,0.545454545454545,0.00694576160892618,0.004675653,0.515210540681373,0.768625093665177,1,-0.0606650861359176,"negative_expression_enriched"
"HNF4A","day_0",5,6,11,0.454545454545455,0.545454545454545,0.0139912669090909,0.015317493,0.515210540681373,0.768625093665177,1,-0.0606650861359176,"negative_expression_enriched"
"HNF4G","day_0",5,6,11,0.454545454545455,0.545454545454545,0.0139912669090909,0.015317493,0.515210540681373,0.768625093665177,1,-0.0606650861359176,"negative_expression_enriched"
"RARG","day_0",5,6,11,0.454545454545455,0.545454545454545,0.0108880146363636,0.009368603,0.515210540681373,0.768625093665177,1,-0.0606650861359176,"negative_expression_enriched"
"SOHLH2","day_0",25,21,46,0.543478260869565,0.456521739130435,0.0112151003478261,0.0097070035,0.515210540681373,0.768806838350947,1,0.0282677201881923,"positive_expression_enriched"
"ETV6","day_0",213,207,420,0.507142857142857,0.492857142857143,0.0171274731571429,0.014528222,0.515210540681373,0.769644893291002,1,-0.00806768353851561,"negative_expression_enriched"
"ERF::FIGLA","day_0",26,22,48,0.541666666666667,0.458333333333333,0.016949328625,0.016441758,0.515210540681373,0.773634394381977,1,0.0264561259852943,"positive_expression_enriched"
"Hoxa13","day_0",26,22,48,0.541666666666667,0.458333333333333,0.00890956440879536,0.005233288,0.515210540681373,0.773634394381977,1,0.0264561259852943,"positive_expression_enriched"
"HOXA7","day_0",161,146,307,0.52442996742671,0.47557003257329,0.0101664964636008,0.009089192,0.515210540681373,0.775366233601649,1,0.00921942674533738,"positive_expression_enriched"
"RORA","day_0",7,5,12,0.583333333333333,0.416666666666667,0.0110500951666667,0.0128480585,0.515210540681373,0.775663768516086,1,0.0681227926519604,"positive_expression_enriched"
"ZBED4","day_0",56,56,112,0.5,0.5,0.0119763604464286,0.0106611545,0.515210540681373,0.777169415712542,1,-0.0152105406813726,"negative_expression_enriched"
"MEIS3","day_0",101,99,200,0.505,0.495,0.0123539267439246,0.0108378955,0.515210540681373,0.777704783036693,1,-0.0102105406813726,"negative_expression_enriched"
"KLF12","day_0",106,104,210,0.504761904761905,0.495238095238095,0.0122472127,0.011569659,0.515210540681373,0.782678249250032,1,-0.0104486359194677,"negative_expression_enriched"
