"TFName","timepoint","expression_direction","n_observations","pearson_r","pearson_p_value","spearman_rho","spearman_p_value","pearson_p_adj","spearman_p_adj","abs_pearson_r","abs_spearman_rho"
"CEBPD","day_1","negative_expression",34,0.0391777757628257,0.82588420984562,0.041823083906998,0.814325721412899,0.996003310089952,0.950420049912179,0.0391777757628257,0.041823083906998
"ELF3","day_1","negative_expression",164,0.0036148732208634,0.963358847821397,-0.0191323442418655,0.807880096893891,0.997774976357545,0.950420049912179,0.0036148732208634,0.0191323442418655
"ETV4","day_1","negative_expression",197,0.0169317497458021,0.813313932817532,0.016910745545267,0.813541288153966,0.996003310089952,0.950420049912179,0.0169317497458021,0.016910745545267
"ETV5::DRGX","day_1","negative_expression",23,0.0018759577061334,0.99322202928363,-0.051066247045581,0.817005470713277,0.997774976357545,0.950420049912179,0.0018759577061334,0.051066247045581
"Esrrg","day_1","negative_expression",23,-0.051545884611861,0.815315341560638,-0.0524493403190697,0.812133944740923,0.996003310089952,0.950420049912179,0.051545884611861,0.0524493403190697
"FOXO1::ELK1","day_1","negative_expression",67,0.0343300950626881,0.782703969826907,-0.0311576850279664,0.802357007115462,0.996003310089952,0.950420049912179,0.0343300950626881,0.0311576850279664
"GCM1","day_1","negative_expression",19,0.0501456314747219,0.838456590097161,0.0652566453501031,0.790686846121676,0.996003310089952,0.950420049912179,0.0501456314747219,0.0652566453501031
"IRF9","day_1","negative_expression",4,-0.199049932051736,0.800950067948264,-0.2,0.8,0.996003310089952,0.950420049912179,0.199049932051736,0.2
"KLF13","day_1","negative_expression",4,-0.143288092443574,0.856711907556426,0.2,0.8,0.996003310089952,0.950420049912179,0.143288092443574,0.2
"NR1D2","day_1","negative_expression",4,0.526846827093444,0.473153172906556,0.2,0.8,0.925781641713024,0.950420049912179,0.526846827093444,0.2
"Nfe2l2","day_1","negative_expression",26,-0.0299696138935768,0.884448532748258,-0.0499401409732475,0.808568720001429,0.996003310089952,0.950420049912179,0.0299696138935768,0.0499401409732475
"Nr1h3::Rxra","day_1","negative_expression",19,0.250456741420955,0.301041825582789,0.0588752196836555,0.810783192136585,0.882329763252904,0.950420049912179,0.250456741420955,0.0588752196836555
"OSR2","day_1","negative_expression",46,0.166391937273255,0.269075724156708,-0.0351862720024607,0.816422223091838,0.85283322741194,0.950420049912179,0.166391937273255,0.0351862720024607
"PAX5","day_1","negative_expression",33,0.146497334908682,0.415921853613857,0.0453290998902417,0.802213043445407,0.886337963858968,0.950420049912179,0.146497334908682,0.0453290998902417
"SNAI2","day_1","negative_expression",46,0.0178034859597205,0.906515147056409,0.0390616524988473,0.796610393809912,0.997774976357545,0.950420049912179,0.0178034859597205,0.0390616524988473
"SNAI3","day_1","negative_expression",48,-0.0812417871610002,0.583052436801652,-0.0348846693080238,0.813906953894824,0.929073071549068,0.950420049912179,0.0812417871610002,0.0348846693080238
"SOX13","day_1","negative_expression",32,0.317655970922848,0.0764525750780937,0.042983159399044,0.815308478174835,0.797993629835823,0.950420049912179,0.317655970922848,0.042983159399044
"Sox3","day_1","negative_expression",32,0.317655970922848,0.0764525750780937,0.042983159399044,0.815308478174835,0.797993629835823,0.950420049912179,0.317655970922848,0.042983159399044
"ZKSCAN1","day_1","negative_expression",4,-0.575381708281894,0.424618291718106,-0.2,0.8,0.890927597841029,0.950420049912179,0.575381708281894,0.2
"ZNF417","day_1","negative_expression",23,0.128954102197469,0.557599360722101,0.0527632220903014,0.811029322200138,0.929073071549068,0.950420049912179,0.128954102197469,0.0527632220903014
"ZNF682","day_1","negative_expression",11,-0.093336655355157,0.784886973790119,-0.0913251529954446,0.789431915254107,0.996003310089952,0.950420049912179,0.093336655355157,0.0913251529954446
"Zbtb2","day_1","negative_expression",43,0.0196195430056335,0.90062266414993,0.0404124334616143,0.796948530376785,0.996546971574183,0.950420049912179,0.0196195430056335,0.0404124334616143
"PAX9","day_1","negative_expression",7,0.200918482938575,0.665752896190241,0.107142857142857,0.819150855569991,0.929073071549068,0.951436086904276,0.200918482938575,0.107142857142857
"GATA5","day_1","negative_expression",51,0.0258392017202222,0.857165053092606,-0.0312301987556857,0.827778111666144,0.996003310089952,0.953601449520415,0.0258392017202222,0.0312301987556857
"GSC","day_1","negative_expression",18,0.0147342685162479,0.953727047444752,0.0568181818181818,0.822809182376401,0.997774976357545,0.953601449520415,0.0147342685162479,0.0568181818181818
"HOXB2","day_1","negative_expression",117,0.180068767633486,0.0520475203585667,0.0201055720125971,0.829641169970473,0.66022006781208,0.953601449520415,0.180068767633486,0.0201055720125971
"IKZF1","day_1","negative_expression",163,0.055793038386616,0.479325911778582,0.0169319370235836,0.830138269467449,0.928849176192692,0.953601449520415,0.055793038386616,0.0169319370235836
"MEIS3","day_1","negative_expression",117,-0.0450776851968488,0.629379722720905,-0.0200670026537095,0.829963043576119,0.929073071549068,0.953601449520415,0.0450776851968488,0.0200670026537095
"MEOX2","day_1","negative_expression",92,0.164382047413123,0.117392772651691,0.0230625437882689,0.827263427168966,0.797993629835823,0.953601449520415,0.164382047413123,0.0230625437882689
"POU3F4","day_1","negative_expression",9,0.106254564672573,0.785566179504095,0.0833333333333333,0.831214097710308,0.996003310089952,0.953601449520415,0.106254564672573,0.0833333333333333
"ZNF692","day_1","negative_expression",57,-0.0851726218619767,0.528734361673579,-0.0293287480745886,0.828544950154569,0.929073071549068,0.953601449520415,0.0851726218619767,0.0293287480745886
"TFAP4::FLI1","day_1","negative_expression",7,-0.121734245002446,0.794865406164833,0.0985138007798876,0.833568135049336,0.996003310089952,0.954837618708887,0.121734245002446,0.0985138007798876
"POU2F1","day_1","negative_expression",12,-0.179193348879858,0.577359167466964,-0.0665500144921429,0.837187854464164,0.929073071549068,0.957517607246475,0.179193348879858,0.0665500144921429
"HOXD10","day_1","negative_expression",8,-0.392836921434502,0.335701162291835,-0.084343471224579,0.842604396293089,0.882329763252904,0.959177561969061,0.392836921434502,0.084343471224579
"NFYC","day_1","negative_expression",30,-0.00315634542701669,0.986792882302153,-0.0380846476295872,0.841631704975343,0.997774976357545,0.959177561969061,0.00315634542701669,0.0380846476295872
"STAT1","day_1","negative_expression",58,0.0198255409855268,0.882568096925843,-0.0265065807207656,0.843429758437981,0.996003310089952,0.959177561969061,0.0198255409855268,0.0265065807207656
"ZBTB11","day_1","negative_expression",100,-0.0107899845215851,0.915148870984674,0.0199564860398756,0.843768497026259,0.997774976357545,0.959177561969061,0.0107899845215851,0.0199564860398756
"DUXA","day_1","negative_expression",11,-0.149924113384338,0.659945608490613,-0.0604651162790698,0.859823359580959,0.929073071549068,0.971522466716853,0.149924113384338,0.0604651162790698
"ETV5::FOXO1","day_1","negative_expression",83,0.0186616175776807,0.867014736960084,0.020211778153397,0.856081882922296,0.996003310089952,0.971522466716853,0.0186616175776807,0.020211778153397
"Foxq1","day_1","negative_expression",13,-0.172775586134348,0.572443959320911,-0.055325087497646,0.857534565283349,0.929073071549068,0.971522466716853,0.172775586134348,0.055325087497646
"ZBTB33","day_1","negative_expression",5,0.369638367276055,0.540310370772964,0.111111111111111,0.858820573642766,0.929073071549068,0.971522466716853,0.369638367276055,0.111111111111111
"Znf423","day_1","negative_expression",29,0.12952013370442,0.503089809815335,0.0339277129832573,0.861299983695395,0.929073071549068,0.971723058528138,0.12952013370442,0.0339277129832573
"ZKSCAN5","day_1","negative_expression",79,0.0427489702813706,0.708347805378271,0.0196983163621926,0.863195019931237,0.954674159320625,0.972394389922538,0.0427489702813706,0.0196983163621926
"Alx4","day_1","negative_expression",5,-0.114423110985043,0.854630504560184,0.102597835208515,0.869597920518565,0.996003310089952,0.972865380801359,0.114423110985043,0.102597835208515
"NFYA","day_1","negative_expression",27,0.0520629284099101,0.7964835834075,-0.0330275615450215,0.870093393288369,0.996003310089952,0.972865380801359,0.0520629284099101,0.0330275615450215
"Nr2e3","day_1","negative_expression",60,0.100859241053597,0.443214594057213,0.0220318238818027,0.867300774613913,0.898440423725733,0.972865380801359,0.100859241053597,0.0220318238818027
"POU2F3","day_1","negative_expression",8,-0.208722757890075,0.61986258451241,-0.0714285714285714,0.866526270675909,0.929073071549068,0.972865380801359,0.208722757890075,0.0714285714285714
"ZFP14","day_1","negative_expression",33,0.050887341078709,0.778529319102971,0.0295986626212048,0.870116229620467,0.996003310089952,0.972865380801359,0.050887341078709,0.0295986626212048
"FOXF2","day_1","negative_expression",18,-0.132729742215308,0.599562360051257,-0.039256219294399,0.877095731757694,0.929073071549068,0.977957845899539,0.132729742215308,0.039256219294399
"Runx1","day_1","negative_expression",106,-0.00784572600416062,0.936380298791307,-0.0151768057504869,0.877285714703998,0.997774976357545,0.977957845899539,0.00784572600416062,0.0151768057504869
"ETV6","day_1","negative_expression",222,0.0283489963348064,0.674419362015887,0.00979496608771136,0.884615095198671,0.931055273469415,0.978374084884107,0.0283489963348064,0.00979496608771136
"Hmga1","day_1","negative_expression",19,-0.115643485879461,0.637323677635159,0.0351339786713968,0.886454541163984,0.929073071549068,0.978374084884107,0.115643485879461,0.0351339786713968
"KLF10","day_1","negative_expression",100,-0.0205220778795767,0.839399246938582,-0.0139111548029619,0.890738973002776,0.996003310089952,0.978374084884107,0.0205220778795767,0.0139111548029619
"KLF15","day_1","negative_expression",96,0.0643315813053882,0.533477171695399,0.0146250941185101,0.88753301246336,0.929073071549068,0.978374084884107,0.0643315813053882,0.0146250941185101
"LHX6","day_1","negative_expression",58,0.0744222234336498,0.578747257997303,0.0197293516791356,0.883133860099621,0.929073071549068,0.978374084884107,0.0744222234336498,0.0197293516791356
"NKX2-5","day_1","negative_expression",27,0.21729793752581,0.276259738813805,0.0284142988084326,0.888117426157536,0.868244893414817,0.978374084884107,0.21729793752581,0.0284142988084326
"PATZ1","day_1","negative_expression",103,-0.00486266316945494,0.961119615410468,0.0137593313985163,0.890284473088653,0.997774976357545,0.978374084884107,0.00486266316945494,0.0137593313985163
"PLAGL2","day_1","negative_expression",67,-0.0429227398897932,0.730180854410437,-0.0171417706743685,0.890492536610022,0.966681909909747,0.978374084884107,0.0429227398897932,0.0171417706743685
"ZIM3","day_1","negative_expression",37,0.129284823752346,0.445686236569424,0.0242165325772004,0.886868085040504,0.901008932307916,0.978374084884107,0.129284823752346,0.0242165325772004
"ZNF384","day_1","negative_expression",55,0.0392333768865391,0.776112343556322,-0.0209990170227161,0.879050814424579,0.996003310089952,0.978374084884107,0.0392333768865391,0.0209990170227161
"ASCL1","day_1","negative_expression",264,0.103316166824705,0.0938932098627807,-0.00797100881819728,0.897435950777084,0.797993629835823,0.978969435064029,0.103316166824705,0.00797100881819728
"EHF","day_1","negative_expression",175,0.0323745749582313,0.670605104591818,0.00627929073348,0.934270807918513,0.931055273469415,0.978969435064029,0.0323745749582313,0.00627929073348
"ELF2","day_1","negative_expression",201,0.0315865302734867,0.656222538470378,-0.00663377739219871,0.925534562824888,0.929073071549068,0.978969435064029,0.0315865302734867,0.00663377739219871
"ERF","day_1","negative_expression",113,0.0142433529044387,0.880975239929701,0.00965409965170721,0.919164831729875,0.996003310089952,0.978969435064029,0.0142433529044387,0.00965409965170721
"ESRRA","day_1","negative_expression",8,-0.27621007335306,0.5078440105401,0.0476190476190476,0.910849168519584,0.929073071549068,0.978969435064029,0.27621007335306,0.0476190476190476
"ETS1","day_1","negative_expression",198,0.0155163741700822,0.82823530662868,-0.00694602550247136,0.922629849505967,0.996003310089952,0.978969435064029,0.0155163741700822,0.00694602550247136
"ETV5::HOXA2","day_1","negative_expression",21,0.0547394323808943,0.813693711622232,-0.0227568270481144,0.922002652998684,0.996003310089952,0.978969435064029,0.0547394323808943,0.0227568270481144
"FIGLA","day_1","negative_expression",233,0.0876338898021248,0.182516986055828,0.00551438278789518,0.933277987140408,0.816645925173012,0.978969435064029,0.0876338898021248,0.00551438278789518
"FLI1::FOXI1","day_1","negative_expression",81,0.0577487864805525,0.608589034711197,0.0131691148100037,0.90710975465002,0.929073071549068,0.978969435064029,0.0577487864805525,0.0131691148100037
"FOXA2","day_1","negative_expression",37,-0.0992215451289073,0.559038092618696,-0.0160113859025529,0.925064213859155,0.929073071549068,0.978969435064029,0.0992215451289073,0.0160113859025529
"FOXO1::FLI1","day_1","negative_expression",38,0.02776652583135,0.868567489856459,0.0171922924946498,0.918401426029352,0.996003310089952,0.978969435064029,0.02776652583135,0.0171922924946498
"FOXP3","day_1","negative_expression",128,-0.0226869794558134,0.799349800053162,0.00896570972632721,0.919993125661142,0.996003310089952,0.978969435064029,0.0226869794558134,0.00896570972632721
"GABPA","day_1","negative_expression",121,0.00541636489216135,0.952982374651386,-0.00971248741076346,0.915795882891582,0.997774976357545,0.978969435064029,0.00541636489216135,0.00971248741076346
"Lhx4","day_1","negative_expression",121,0.0449847857884463,0.624173227488308,0.00791462466064384,0.931340403036754,0.929073071549068,0.978969435064029,0.0449847857884463,0.00791462466064384
"MEF2A","day_1","negative_expression",18,-0.199257711746436,0.427960889563942,-0.0269570051248015,0.91544209875941,0.894175266463209,0.978969435064029,0.199257711746436,0.0269570051248015
"MYCN","day_1","negative_expression",52,0.0141413440960618,0.9207407359674,-0.0168182600726158,0.90579957311718,0.997774976357545,0.978969435064029,0.0141413440960618,0.0168182600726158
"NFIX","day_1","negative_expression",258,0.0592441876009492,0.343223863237352,-0.00741354851518562,0.905669415154732,0.882329763252904,0.978969435064029,0.0592441876009492,0.00741354851518562
"NR2F2","day_1","negative_expression",23,-0.0171795805801738,0.937986211385326,0.0207612456747405,0.925089557953559,0.997774976357545,0.978969435064029,0.0171795805801738,0.0207612456747405
"PGR","day_1","negative_expression",44,-0.0733147051685188,0.636247499912056,-0.0192307723068819,0.901393219067535,0.929073071549068,0.978969435064029,0.0733147051685188,0.0192307723068819
"RARB","day_1","negative_expression",7,0.0204657158650341,0.96526359732572,0.0560772154092044,0.904949976708737,0.997774976357545,0.978969435064029,0.0204657158650341,0.0560772154092044
"RARG","day_1","negative_expression",8,-0.0811037646270932,0.848595982904298,-0.0368105086916155,0.931042619280914,0.996003310089952,0.978969435064029,0.0811037646270932,0.0368105086916155
"RUNX2","day_1","negative_expression",84,0.032362371866765,0.770104440646462,-0.0122299710574868,0.912080963225457,0.996003310089952,0.978969435064029,0.032362371866765,0.0122299710574868
"SMAD5","day_1","negative_expression",10,-0.302140686550898,0.396170164489077,0.037037037037037,0.919092526554717,0.886337963858968,0.978969435064029,0.302140686550898,0.037037037037037
"SP8","day_1","negative_expression",78,0.00425798509169173,0.970486186322779,0.0112878542086784,0.921864640146094,0.997774976357545,0.978969435064029,0.00425798509169173,0.0112878542086784
"Spi1","day_1","negative_expression",85,0.0299994306134462,0.785201257114188,0.0105372742765099,0.923748448281964,0.996003310089952,0.978969435064029,0.0299994306134462,0.0105372742765099
"TEAD1","day_1","negative_expression",11,0.182252339288332,0.591716860188379,0.0454545454545455,0.894426996905303,0.929073071549068,0.978969435064029,0.182252339288332,0.0454545454545455
"TFAP4::ETV1","day_1","negative_expression",22,-0.0998393933502671,0.658445272473528,-0.0244598070991732,0.913959566659538,0.929073071549068,0.978969435064029,0.0998393933502671,0.0244598070991732
"ZNF184","day_1","negative_expression",38,0.0231312440509782,0.890362437534716,0.0198193289869424,0.905984650909599,0.996003310089952,0.978969435064029,0.0231312440509782,0.0198193289869424
"ZNF213","day_1","negative_expression",12,0.0492230944782102,0.879255521195821,-0.0285259832928268,0.929875448238614,0.996003310089952,0.978969435064029,0.0492230944782102,0.0285259832928268
"ZNF331","day_1","negative_expression",6,0.25751824121108,0.622261382258858,-0.0579771035652448,0.913131785162327,0.929073071549068,0.978969435064029,0.25751824121108,0.0579771035652448
"ZNF454","day_1","negative_expression",11,-0.00461806054796795,0.989248455287087,0.0281718084909505,0.934470824379301,0.997774976357545,0.978969435064029,0.00461806054796795,0.0281718084909505
"ZNF549","day_1","negative_expression",60,-0.0197364100822497,0.881020112775783,-0.011234861572756,0.932104888040218,0.996003310089952,0.978969435064029,0.0197364100822497,0.011234861572756
"ZNF768","day_1","negative_expression",45,0.000664236653167306,0.996544816826064,0.0203052391632006,0.894674069860174,0.997774976357545,0.978969435064029,0.000664236653167306,0.0203052391632006
"ETS2","day_1","negative_expression",202,0.0247173176601678,0.726959921427456,0.0052361529212003,0.941043496787616,0.966677808580068,0.982110755325338,0.0247173176601678,0.0052361529212003
"FOXD3","day_1","negative_expression",14,0.0936369091660918,0.750187335928041,0.0222972229869172,0.93969070507618,0.984456363638903,0.982110755325338,0.0936369091660918,0.0222972229869172
"Stat5b","day_1","negative_expression",18,0.0960065166571222,0.704720233354028,-0.0186625219478263,0.941408304235651,0.95322013480798,0.982110755325338,0.0960065166571222,0.0186625219478263
"CEBPA","day_1","negative_expression",22,0.0737794331624444,0.744196424030958,0.0147518021362715,0.948049439231254,0.98176177279569,0.982135445049535,0.0737794331624444,0.0147518021362715
"ERF::FOXO1","day_1","negative_expression",96,-0.000444361611000868,0.996571657604762,-0.007238388629679,0.944198988439303,0.997774976357545,0.982135445049535,0.000444361611000868,0.007238388629679
"HIF1A","day_1","negative_expression",53,-0.218120932363058,0.116639128951403,-0.0090810058043895,0.948543773359906,0.797993629835823,0.982135445049535,0.218120932363058,0.0090810058043895
"MGA::EVX1","day_1","negative_expression",12,0.141535131781285,0.660827947414523,0.0210157940501504,0.948311888497252,0.929073071549068,0.982135445049535,0.141535131781285,0.0210157940501504
"NHLH2","day_1","negative_expression",6,-0.221233921441819,0.67356320391881,-0.0338061701891407,0.949310062527826,0.931055273469415,0.982135445049535,0.221233921441819,0.0338061701891407
"ZBTB24","day_1","negative_expression",16,-0.155221257104483,0.565955733835069,-0.0193320572817256,0.943348828762691,0.929073071549068,0.982135445049535,0.155221257104483,0.0193320572817256
"POU5F1","day_1","negative_expression",19,0.0241110140970784,0.921951231015895,-0.0149253731343284,0.951642384724338,0.997774976357545,0.98318854112404,0.0241110140970784,0.0149253731343284
"SIX2","day_1","negative_expression",6,0.0218912877868163,0.967168313784072,0.0285714285714286,0.957154518950437,0.997774976357545,0.987519420930934,0.0218912877868163,0.0285714285714286
